name,web,facebook,twitter,alias,status,remarks
אור,http://www.orr.org.il/,https://www.facebook.com/Or.party,orr_party,or,yes,
הבית היהודי,http://www.baityehudi.org.il,https://www.facebook.com/baityehudi.p,naftalibennett,habait-hayehudi,no,
הליכוד,https://likud.org.il,https://www.facebook.com/LikudNetanyahu,likud_party,likud,pending,
המחנה הציוני,http://www.havoda.org.il/Web/Default.aspx,https://www.facebook.com/havoda,havodaparty,hamahane-hazioni,yes,
העם איתנו,,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%94%D7%A2%D7%9D-%D7%90%D7%99%D7%AA%D7%A0%D7%95/676455299137707,yachad2015,haam-itanu,pending,
הרשימה המשותפת,,,,reshima-aravit,yes,
יהדות התורה,,https://www.facebook.com/pages/%D7%99%D7%94%D7%93%D7%95%D7%AA-%D7%94%D7%AA%D7%95%D7%A8%D7%94/526338024136443,,yahadut-hatora,no,"תמונת גפני: ״צילמתי״, מתוך אתר וויקיפדיה"
יש עתיד,http://www.yeshatid.org.il,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%99%D7%A9-%D7%A2%D7%AA%D7%99%D7%93/426502237384307,YeshAtidParty,yeshatid,yes,
ישראל ביתנו,http://www.beytenu.org.il/,https://www.facebook.com/beytenu,beytenu,yisrael-beitenu,pending,
כולנו,,https://www.facebook.com/kulanu.kahlonim,,kulanu,pending,
מרצ,http://meretz.org.il/,https://www.facebook.com/Meretz,meretzparty,meretz,yes,
עלה ירוק,http://aleyarok.org.il/,https://www.facebook.com/AleYarok,AleYarok2015,ale-yarok,yes,
"ש""ס",,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%A9%D7%A1-%D7%94%D7%93%D7%A3-%D7%94%D7%A8%D7%A9%D7%9E%D7%99/250584351635475,,shas,no,
